,P1,P2
512,P00750,P05121
513,P00750,P00734
514,P00750,Q07954
515,P00750,P08697
516,P00750,P13726
517,P00750,Q05586
518,P00750,P01008
519,P00750,P02751
520,P00750,P05120
521,P00750,P00747
522,P00750,Q03405
523,P00390,P52209
524,P00390,P09210
525,P00390,P48507
526,P00390,P09488
527,P00390,P04040
528,P00390,P00441
529,P00390,P09211
530,P00390,P30044
531,P00390,P78352
532,P00390,P48506
533,P62714,P06213
534,P00390,O60760
535,P62714,P06239
536,P62714,Q02750
537,P62714,P10636
538,P62714,P12931
539,P62714,P06400
540,P62714,P27361
541,P62714,P31749
542,P62714,P15056
543,P62714,P06241
544,P62714,P00533
545,P62714,P04049
546,P62714,P99999
547,P62714,P01133
548,P62714,P36507
549,P62714,P07948
550,P62714,P07947
551,P62714,P37173
552,P62714,P67775
553,P62714,Q13164
554,Q96RP8,Q14722
555,P01137,P01189
556,P01137,Q16552
557,P01137,P00747
558,P01137,P62942
559,P01137,P05231
560,P01137,P34741
561,P01137,O15530
562,P01137,P02751
563,P01137,P37231
564,P01137,P14210
565,P01137,P14780
566,P01137,P27361
567,P01137,P05412
568,P01137,P01133
569,P01137,P06756
570,P01137,Q04206
571,P01137,P29590
572,P01137,P35222
573,P01137,P05067
574,P01137,Q9NPF7
575,P01137,P01100
576,P01137,P37173
577,P01137,P15692
578,P01137,P09038
579,O60664,Q9UGI9
580,O60664,Q9UGJ0
581,O60664,O43741
582,O60664,P11717
583,O60664,Q9Y478
584,O60664,P11142
585,O60664,P54619
586,P19235,P27986
587,P19235,P45983
588,P19235,Q16539
589,P19235,P10721
590,P19235,P08700
591,P19235,P52333
592,P19235,Q14643
593,P19235,P07948
594,P19235,P29597
595,P19235,P19838
596,P19235,P23458
597,P19235,Q9UQQ2
598,P19235,P51692
599,P19235,O60674
600,P19235,Q06187
601,O00459,P37173
602,O00459,P42338
603,O00459,P07948
604,O00459,P10828
605,O00459,O00329
606,O00459,P10721
607,O00459,P36888
608,O00459,P35968
609,O00459,Q05655
610,O00459,P12931
611,O00459,P31749
612,O00459,P11362
613,O00459,Q08881
614,O00459,P06401
615,O00459,P15391
616,O00459,O15530
617,O00459,Q06187
618,O00459,P04629
619,O00459,P04626
620,O00459,Q05513
621,O00459,P16234
622,O00459,P09619
623,O00459,Q15303
624,O00459,P06241
625,O00459,P27986
626,O00459,P42345
627,O00459,P10827
628,O00459,O00206
629,O00459,P08069
630,O00459,Q92569
631,O00459,P42336
632,O00459,P00533
633,O00459,P22607
634,O00459,P04049
635,O00459,O60674
636,P27169,P05164
637,P14210,P09038
638,P14210,P04629
639,P14210,P35968
640,P14210,P17948
641,P14210,P12931
642,P14210,P04626
643,P14210,P35916
644,P14210,P08581
645,P14210,P10721
646,P14210,P15692
647,P14210,P02751
648,P14210,P05981
649,P14210,P42336
650,P14210,P18031
651,P14210,Q9NPF7
652,P14210,P08069
653,P14210,P05231
654,P14210,P00533
655,P14210,P35222
656,P14210,P14780
657,P14210,P27361
658,P14210,P09619
659,P14210,P00749
660,P14210,P45983
661,P14210,Q16552
662,P14210,Q03405
663,P14210,P27986
664,P14210,Q02763
665,P14210,P01189
666,P14210,O14786
667,P14210,P01133
668,Q02218,P31040
669,Q02218,Q9P2R7
670,Q02218,P17174
671,Q02218,P21912
672,Q02218,Q8TD30
673,Q02218,P00505
674,Q02218,P53597
675,Q02218,Q99643
676,Q02218,Q9Y234
677,Q02218,Q96I99
678,Q02218,P24298
679,Q02218,P51649
680,P05121,P00747
681,P05121,P08709
682,P05121,Q07954
683,P05121,P05231
684,P05121,P02751
685,P05121,P30556
686,P05121,P13726
687,P05121,P06756
688,P05121,P05120
689,P05121,Q03405
690,P05121,P04070
691,P05121,P00749
692,P05121,Q13547
693,P05121,P05106
694,P05121,P01130
695,P05121,P04275
696,P01031,P00734
697,O60568,O00469
698,P01031,P30405
699,P05121,P00734
700,P01031,P08246
701,O43174,P08684
702,O43174,P00325
703,O43174,P47895
704,O43174,Q96NR8
705,O43174,O14756
706,O43174,Q8TC12
707,O43174,P00352
708,O43174,O75911
709,O43174,Q06278
710,O43174,O95237
711,O43174,Q9BTZ2
712,O43174,O94788
713,O43174,P05177
714,O43174,Q6NUM9
715,O43174,P00326
716,O43174,Q6V0L0
717,P30405,P49841
718,P30405,P10415
719,O43174,Q9NYR8
720,P30405,P62942
721,P30405,Q02156
722,P30405,P99999
723,P30405,Q07869
724,P30405,P07900
725,P30405,P04637
726,P05164,P02768
727,P05164,P00450
