,G1,G2
3315,ALDH1A2,DHRS9
3316,ALDH1A2,CYP1A1
3317,ALDH1A2,CYP3A4
3318,PPR1,CCL21
3319,PPR1,CCL27
3320,PPR1,CCL8
3321,MYOD1,HDAC1
3322,MYOD1,SMARCA4
3323,MYOD1,SMAD7
3324,MYOD1,MYB
3325,MYOD1,TBP
3326,MYOD1,TCF4
3327,MYOD1,HEY1
3328,MYOD1,MEF2C
3329,MYOD1,AKT1
3330,MYOD1,JUN
3331,MYOD1,STAT3
3332,MYOD1,SMAD4
3333,MYOD1,EP300
3334,MYOD1,FBXO32
3335,MYOD1,CREBBP
3336,MYOD1,ID1
3337,TPH1,SLC6A4
3338,TPH1,AKR1B10
3339,TPH1,TDO2
3340,TPH1,IDO1
3341,TPH1,AKR1B1
3342,TPH1,DHFR
3343,ATP1B2,ATP1A1
3344,ATP1B2,ATP1A2
3345,ATP1B2,FXYD2
3346,ATP1B2,ATP1A3
3347,CMA1,AGT
3348,CMA1,A2M
3349,CMA1,MMP1
3350,FOXA1,GATA3
3351,FOXA1,ESR1
3352,FOXA1,TLE3
3353,FOXA1,NKX2-1
3354,FOXA1,EP300
3355,FOXA1,AR
3356,CDO1,GAD1
3357,CDO1,GAD2
3358,ALOX12,ALOX12B
3359,ALOX12,ALOX15
3360,ALOX12,PTGS1
3361,ALOX12,CYP2C19
3362,ALOX12,CYP2J2
3363,ALOX12,CYP2B6
3364,RAF1,YWHAE
3365,RAF1,PRKCB
3366,RAF1,EDN1
3367,RAF1,CCL4
3368,ALOX12,PTGS2
3369,ALOX12,ALOX5
3370,RAF1,TRAK1
3371,RAF1,AP3B1
3372,RAF1,MAP2K1
3373,RAF1,IGF1R
3374,RAF1,PIK3CA
3375,RAF1,TSC22D3
3376,RAF1,PAK1
3377,RAF1,SCNN1B
3378,RAF1,BCL2L11
3379,RAF1,SCNN1G
3380,RAF1,SHOC2
3381,RAF1,LMNA
3382,RAF1,RHOA
3383,RAF1,CXCL12
3384,RAF1,SRC
3385,RAF1,BRAP
3386,RAF1,PAK2
3387,RAF1,RRAS2
3388,RAF1,RASA1
3389,RAF1,AGT
3390,RAF1,MRAS
3391,RAF1,RB1
3392,RAF1,AKT1
3393,RAF1,PEBP1
3394,RAF1,XIAP
3395,RAF1,HRAS
3396,RAF1,CNKSR2
3397,RAF1,ARRB2
3398,RAF1,ARAF
3399,RAF1,PRKCA
3400,RAF1,KRAS
3401,RAF1,PPP1CB
3402,RAF1,HSPA4
3403,RAF1,CRY2
3404,RAF1,MAPK3
3405,RAF1,PRKCD
3406,RAF1,BRAF
3407,RAF1,HSP90AA1
3408,RAF1,IGF1
3409,RAF1,PPP2R5C
3410,RAF1,MAP2K2
3411,RAF1,RHEB
3412,RAF1,FYN
3413,RAF1,F2
3414,RAF1,PHB
3415,RAF1,QKI
3416,RAF1,CCL11
3417,RAF1,NRAS
3418,RAF1,DNM1
3419,MED17,LEP
3420,RAF1,YWHAZ
3421,RAF1,SCNN1A
3422,MED17,MED1
3423,MED17,FABP4
3424,MED17,ANGPTL4
3425,MED17,LPL
3426,MED17,ADIPOQ
3427,MED17,PPARGC1B
3428,MED17,CD36
3429,MED17,MED4
3430,MED17,MED16
3431,MED17,MED12
3432,MED17,TP53
3433,MED17,MED14
3434,MED17,PCK1
3435,MED17,MED15
3436,MICB,B2M
3437,KCNA5,KCNH2
3438,KCNA5,DLG4
3439,KCNA5,DLG1
3440,KCNA5,KCNAB2
3441,NECTIN2,CDH1
3442,NECTIN2,CTNNB1
3443,NECTIN2,CD226
3444,NECTIN2,CTNNA1
3445,APOE,LIPC
3446,APOE,LRP2
3447,APOE,CD44
3448,APOE,LRP8
3449,APOE,LDLR
3450,APOE,ALB
3451,APOE,TREM2
3452,APOE,ERBB4
3453,APOE,LDLRAP1
3454,APOE,LPL
3455,APOE,PSEN1
3456,APOE,SCARB1
3457,APOE,CLU
3458,APOE,APP
3459,APOE,APOA5
3460,APOE,MAPT
3461,APOE,RXRB
3462,APOE,TFAP2A
3463,APOE,APOC2
3464,APOE,SORL1
3465,APOE,DEK
3466,APOE,VLDLR
3467,APOE,HP
3468,APOE,ABCA1
3469,APOE,SNCA
3470,APOE,RELN
3471,XPO7,XPO1
3472,NCAN,HSPG2
3473,NCAN,L1CAM
3474,NCAN,UST
3475,NCAN,B3GAT1
3476,NCAN,PTPRZ1
3477,NCAN,NCAM1
3478,NCAN,SDC4
3479,EPO,CBL
3480,EPO,BTK
3481,EPO,STAT5B
3482,EPO,PTPN6
3483,EPO,SOCS3
3484,EPO,STAT5A
3485,EPO,NRAS
3486,EPO,PRL
3487,EPO,EPAS1
3488,EPO,KRAS
3489,EPO,LEP
3490,EPO,KIT
3491,EPO,MPL
3492,EPO,JAK2
3493,EPO,TEC
3494,EPO,HRAS
3495,EPO,CREBBP
3496,EPO,HIF1A
3497,EPO,CREB1
3498,EPO,SH2B3
3499,EPO,STAT1
3500,EPO,JUN
3501,EPO,GRB2
3502,EPO,ARNT
3503,EPO,IRS2
3504,EPO,MAPK8
3505,EPO,EP300
3506,NUMBL,NOTCH1
3507,NUMBL,NOTCH3
3508,NUMBL,NOTCH2
3509,EIF2S3,EIF2A
3510,EIF2S3,RPS15
3511,EIF2S3,RPS4X
3512,CALY,DRD1
3513,EIF2S3,EEF2
3514,EIF2S3,EIF2AK3
3515,EIF2S3,EIF2S1
3516,EIF2S3,RPS8
3517,EIF2S3,ATF4
3518,EIF2S3,RPS2
3519,EIF2S3,EIF2S2
3520,EIF2S3,DDIT3
3521,EIF2S3,LOH19CR1
3522,EIF2S3,EIF2AK4
3523,EIF2S3,EIF3I
3524,EIF2S3,RPS7
3525,EIF2S3,RPS6
3526,MAP3K10,MAP2K6
3527,MAP3K10,MAP2K3
3528,HIP1R,AP3B1
3529,F12,F2
3530,F12,COL4A2
3531,F12,F11
3532,F12,SERPING1
3533,F12,GP1BB
3534,F12,GP1BA
3535,F12,KNG1
3536,RARA,NCOA2
3537,RARA,NCOA3
3538,RARA,EP300
3539,RARA,MAPK8
3540,RARA,THRA
3541,RARA,CREBBP
3542,RARA,CARM1
3543,RARA,PML
3544,RARA,CCNH
3545,RARA,MAPK3
3546,RARA,MED1
3547,RARA,NCOA1
3548,RARA,NCOA6
3549,RARA,HDAC1
3550,RARA,NRIP1
3551,RARA,KLF5
3552,RARA,MEIS1
3553,RARA,HDAC3
3554,RARA,PRKACA
3555,RARA,RARG
3556,RARA,PRKCA
3557,RARA,RARB
3558,RARA,RXRB
3559,RARA,AKT1
3560,RARA,THRB
3561,RARA,VDR
3562,PPP1R1B,PPP3CC
3563,RARA,NCOR1
3564,PPP1R1B,CDK5
3565,PPP1R1B,PDE4B
3566,PPP1R1B,CDK5R1
3567,PPP1R1B,PRKAR1A
3568,FUS,HNRNPR
3569,FUS,XIST
3570,FUS,C9orf72
3571,FUS,HDAC1
3572,FUS,ATXN2
3573,FUS,VCP
3574,FUS,MATR3
3575,FUS,SRSF10
3576,FUS,SRSF2
3577,TRIM21,SQSTM1
3578,TRIM21,CDH1
3579,TRIM21,RO60
3580,TRIM21,SSB
3581,PER2,CLOCK
3582,PER2,HIF1A
3583,PER2,NPAS2
3584,PER2,CSNK1E
3585,PER2,CRY2
3586,PER2,ARNTL
3587,PER2,PPP1CB
3588,PER2,PER1
3589,PER2,PER3
3590,SCLY,SEPHS1
3591,SCLY,TXNRD1
3592,EEFSEC,SEPHS1
3593,H3-3A,DNMT3L
3594,H3-3A,ATRX
3595,H3-3A,DNMT3A
3596,H3-3A,MCM2
3597,H3-3A,DAXX
3598,H3-3A,SMARCA4
3599,H3-3A,H2BC4
3600,H3-3A,H3C2
3601,H3-3A,CARM1
3602,H3-3A,HIRA
3603,BRD8,KAT8
3604,BRD8,YY1
3605,BRD8,H2AC20
3606,BRD8,ACTB
3607,BRD8,TRRAP
3608,BRD8,INO80C
3609,ERAL1,DAP3
3610,ERAL1,MRPS22
3611,JAG1,RUNX3
3612,JAG1,ADAM10
3613,JAG1,NOTCH2
3614,JAG1,RBPJ
3615,JAG1,DNM1
3616,JAG1,NOTCH3
3617,JAG1,DLL1
3618,JAG1,JAG2
3619,JAG1,NOTCH1
3620,JAG1,MIB1
3621,JAG1,NEURL1
3622,SNAP25,SYP
3623,SNAP25,CPLX2
3624,SNAP25,SYN2
3625,SNAP25,CPLX1
3626,SNAP25,HSPA8
3627,SNAP25,INS
3628,SNAP25,CACNA2D2
3629,SNAP25,STXBP1
3630,SNAP25,VAMP7
3631,SNAP25,GNAI2
3632,SNAP25,CACNB2
3633,SNAP25,PRRT2
3634,SNAP25,CACNA1C
3635,SNAP25,SYN1
3636,SNAP25,CACNA1D
3637,CRP,OLR1
3638,CRP,LEP
3639,CRP,FCGR2A
3640,CRP,FN1
3641,CRP,TNF
3642,CRP,CFH
3643,CRP,INS
3644,CRP,ALB
3645,CRP,IL6
3646,CRP,C4A
3647,CRP,C1R
3648,AP3B1,CAMK2D
3649,AP3B1,CAMK2G
3650,AP3B1,JAK2
3651,AP3B1,ARAF
3652,AP3B1,TFRC
3653,AP3B1,CAMK2B
3654,AP3B1,CAMK2A
3655,AP3B1,IGF2R
3656,AP3B1,AP3S2
3657,AP3B1,ARF1
3658,AP3B1,HSPA8
3659,PEMT,PLAAT3
3660,PEMT,PLD4
3661,PEMT,PLD2
3662,PI4KA,PI4K2B
3663,PI4KA,PIK3C3
3664,PI4KA,ITGB3
3665,PI4KA,PTEN
3666,PI4KA,PTK2B
3667,NTS,TAC1
3668,NTS,NTSR1
3669,NTS,CCK
3670,NTS,TRH
3671,BTG1,FOXO3
3672,KRAS,ZDHHC9
3673,KRAS,IRS1
3674,KRAS,RASSF1
3675,KRAS,LAT
3676,KRAS,CSF2RB
3677,KRAS,SRC
3678,KRAS,ERBB2
3679,KRAS,FGF3
3680,KRAS,RASA1
3681,KRAS,NRG1
3682,KRAS,MAP3K1
3683,KRAS,FGFR1
3684,KRAS,SOCS3
3685,KRAS,FGF9
3686,KRAS,RASA2
3687,KRAS,PIK3CD
3688,KRAS,DLG1
3689,KRAS,NTF3
3690,KRAS,RIN1
3691,KRAS,EPHB2
3692,KRAS,CDKN2A
3693,KRAS,FGF8
3694,KRAS,DLG3
3695,KRAS,CAMK2B
3696,KRAS,KIT
3697,KRAS,ERBB3
3698,KRAS,NTF4
3699,KRAS,NTRK3
3700,KRAS,VAV1
3701,KRAS,DLG4
3702,KRAS,FGFR4
3703,KRAS,PTPRA
3704,KRAS,SPHK1
3705,KRAS,PRKCA
3706,KRAS,CAMK2A
3707,KRAS,SPTBN2
3708,KRAS,IGF1R
3709,KRAS,FGF10
3710,KRAS,PIK3CA
3711,KRAS,EML4
3712,KRAS,MAP2K1
3713,KRAS,TGFA
3714,KRAS,BTC
3715,KRAS,IKZF3
3716,KRAS,PRKCB
3717,KRAS,DLG2
3718,KRAS,BCL2L1
3719,KRAS,BRD2
3720,KRAS,PAK1
3721,KRAS,NF1
3722,KRAS,GRIN2D
3723,KRAS,YWHAE
3724,KRAS,KL
3725,KRAS,FGF17
3726,KRAS,RHOA
3727,KRAS,ANGPT1
3728,KRAS,PAK2
3729,KRAS,PDGFA
3730,KRAS,IL2RG
3731,KRAS,BDNF
3732,KRAS,SHOC2
3733,KRAS,FGF2
3734,KRAS,PPP2R5C
3735,KRAS,FGF5
3736,KRAS,CAMK2D
3737,KRAS,MAP2K2
3738,KRAS,PIK3CB
3739,KRAS,YWHAZ
3740,KRAS,CSF2
3741,KRAS,PHB
3742,KRAS,MET
3743,KRAS,GRIN2B
3744,KRAS,EPGN
3745,KRAS,NTRK2
3746,KRAS,NRAS
3747,KRAS,PTPN11
3748,KRAS,PRKCQ
3749,KRAS,PTEN
3750,KRAS,RAC1
3751,KRAS,CAMK2G
3752,KRAS,NCAM1
3753,KRAS,AREG
3754,KRAS,PDGFB
3755,KRAS,JAK2
3756,KRAS,FGFR3
3757,KRAS,EGFR
3758,KRAS,IL2RA
3759,KRAS,PIM1
3760,KRAS,TP53
3761,KRAS,RASGRP1
3762,KRAS,ARAF
3763,KRAS,FGFR2
3764,KRAS,HRAS
3765,KRAS,NRG3
3766,KRAS,GRB2
3767,KRAS,ERBB4
3768,KRAS,PIK3CG
3769,KRAS,MAPK3
3770,KRAS,FYN
3771,KRAS,ZMYM2
3772,KRAS,HSP90AA1
3773,KRAS,SPTBN4
3774,KRAS,RUNX3
3775,KRAS,EP300
3776,KRAS,PDGFRB
3777,KRAS,PDGFRA
3778,KRAS,IRS2
3779,KRAS,CSF2RA
3780,KRAS,PRRT2
3781,KRAS,ALK
3782,KRAS,NEFL
3783,KRAS,PIK3R1
3784,KRAS,BRAF
3785,KRAS,PTK2
3786,KRAS,MAPK8
3787,KRAS,EGF
3788,FABP4,MED14
3789,FABP4,MED15
3790,FABP4,PPARGC1A
3791,FABP4,CREBBP
3792,FABP4,CDK4
3793,FABP4,NCOA1
3794,FABP4,EP300
3795,FABP4,MED4
3796,FABP4,NCOA3
3797,FABP4,NCOA2
3798,FABP4,MED12
3799,FABP4,MED16
3800,FABP4,PPARG
3801,FABP4,MED1
3802,FABP4,PTEN
3803,RRAS2,ARAF
3804,RRAS2,BRAF
3805,RRAS2,NF1
3806,RRAS2,SHOC2
3807,RRAS2,PIK3CD
3808,RRAS2,RIN1
3809,EIF2S1,RPS2
3810,EIF2S1,EIF2S2
3811,EIF2S1,DDIT3
3812,EIF2S1,LOH19CR1
3813,EIF2S1,EIF3I
3814,EIF2S1,EIF2AK4
3815,EIF2S1,CCT5
3816,EIF2S1,RPS7
3817,EIF2S1,RPS6
3818,EIF2S1,RPS15
3819,EIF2S1,RPS4X
3820,EIF2S1,HSPA5
3821,EIF2S1,EIF2A
3822,EIF2S1,RPS8
3823,EIF2S1,EIF2AK3
3824,EIF2S1,ATF4
3825,ELP3,CTU1
3826,ELP3,ELP1
3827,ELP3,ELP4
3828,MBD2,DNMT1
3829,MBD2,HDAC2
3830,MBD2,MTA1
3831,MBD2,HDAC1
3832,MBD2,CHD4
3833,MBD2,MTA2
3834,VHL,FN1
3835,VHL,ELOC
3836,VHL,EP300
3837,VHL,VEGFA
3838,VHL,ARNT
3839,VHL,EPAS1
3840,VHL,HIF1A
3841,VHL,CUL2
3842,BHLHE40,ARNTL
3843,VHL,TP53
3844,BHLHE40,CLOCK
3845,BHLHE40,NPAS2
3846,CHL1,GFRA1
3847,CHL1,CD44
3848,CHL1,FYN
3849,CHL1,NRP1
3850,CHL1,GDNF
3851,LAMTOR5,RPTOR
3852,LAMTOR5,FLCN
3853,LAMTOR5,TSC1
3854,LAMTOR5,MTOR
3855,LAMTOR5,AKT1
3856,NOTCH2,PSEN2
3857,NOTCH2,JAG2
3858,NOTCH2,DLL1
3859,NOTCH2,TMED2
3860,NOTCH2,ADAM10
3861,NOTCH2,NEURL1
3862,NOTCH2,MIB1
3863,NOTCH2,APP
3864,NOTCH2,PSEN1
3865,NOTCH2,ATP2A2
3866,NOTCH2,MDK
3867,NOTCH2,ATP2A3
3868,NOTCH2,ACTA2
3869,NOTCH2,RBPJ
3870,FST,BMP7
3871,FST,BMP2
3872,FST,RGMB
3873,FST,MSTN
3874,FST,BMPR2
3875,NARS1,KARS1
3876,NARS1,IARS2
3877,CCNH,CCND2
3878,CCNH,ERCC3
3879,CCNH,TAL1
3880,CCNH,CCNE2
3881,CCNH,GTF2E2
3882,CCNH,STAT5A
3883,CCNH,TBP
3884,CCNH,RARG
3885,CCNH,GATA3
3886,CCNH,CDK6
3887,CCNH,CDK4
3888,CCNH,ERCC2
3889,CCNH,CDKN1C
3890,CCNH,CDK2
3891,CCNH,CCNE1
3892,CCNH,RUNX1
3893,CCNH,E2F1
3894,CCNH,STAT5B
3895,CCNH,TP53
3896,CCNH,CCN1
3897,CCNH,GTF2H5
3898,CCNH,CDKN1A
3899,DOCK2,RAC1
3900,DOCK2,GNAI2
3901,DOCK2,AKT1
3902,DOCK2,CRK
3903,SLCO1B1,ALB
3904,FOLH1,ALB
3905,MIR107,PABPC1
3906,MIR107,MIR21
3907,DSG3,CASP3
3908,DSG3,DSP
3909,DSG1,PSS
3910,DSG1,CTNNB1
3911,DSG1,DSP
3912,DSG1,CASP3
3913,PDGFRA,RASA1
3914,PDGFRA,SPHK1
3915,PDGFRA,PIK3CA
3916,PDGFRA,CAV1
3917,PDGFRA,CRK
3918,PDGFRA,PDGFA
3919,PDGFRA,STAT3
3920,PDGFRA,CAV3
3921,PDGFRA,HRAS
3922,PDGFRA,PTPN11
3923,PDGFRA,NRAS
3924,PDGFRA,PDGFB
3925,PDGFRA,EGFR
3926,PDGFRA,GRB2
3927,PDGFRA,PIK3R1
3928,PDGFRA,EGF
3929,PDGFRA,PDGFRB
3930,APC,LRP6
3931,APC,CDC42
3932,APC,DLG1
3933,APC,TLE2
3934,APC,AXIN2
3935,APC,CACYBP
3936,APC,RAC1
3937,APC,AXIN1
3938,APC,CASP3
3939,APC,HDAC1
3940,APC,GSK3B
3941,APC,WNT8A
3942,APC,TLE3
3943,APC,NOTCH1
3944,APC,CTNNA1
3945,APC,ASAP1
3946,APC,CTNNB1
3947,APC,LRP5
3948,APC,XPO1
3949,APC,FZD2
3950,APC,CSNK1E
3951,SDS,CBS
3952,SDS,SRR
3953,SDS,PSPH
3954,SDS,SHMT1
3955,SDS,SHMT2
3956,SDS,DBT
3957,HNF1A,HNF4A
3958,HNF1A,HDAC1
3959,HNF1A,CREBBP
3960,HNF1A,MAL
3961,HNF1A,CTNNB1
3962,HNF1A,SLC2A2
3963,HNF1A,EP300
3964,HNF1A,MYC
3965,HNF1A,SMAD4
3966,HNF1A,MAPK8
3967,HNF1A,MAPK3
3968,TBX3,NKX2-5
3969,NT5E,ADA
3970,NT5E,CDA
3971,NT5E,TYMS
3972,NT5E,HPRT1
3973,NT5E,TYMP
3974,NT5E,CD44
3975,NT5E,ENG
3976,NT5E,ADK
3977,NT5E,ENPP1
3978,NT5E,AK3
3979,NT5E,APRT
3980,NT5E,ADORA2A
3981,CDK4,HSP90AA1
3982,CDK4,CDKN1A
3983,CDK4,CCN1
3984,CDK4,JAK2
3985,CDK4,TP53
3986,CDK4,BRCA1
3987,CDK4,CDK5
3988,CDK4,ABL1
3989,CDK4,RAD51C
3990,CDK4,E2F2
3991,CDK4,HRAS
3992,CDK4,H2AC20
3993,CDK4,E2F1
3994,CDK4,CDKN2B
3995,CDK4,RBL2
3996,CDK4,PCNA
3997,CDK4,HDAC1
3998,CDK4,ATM
3999,CDK4,CCNE1
4000,CDK4,CDKN1C
4001,CDK4,CDK6
4002,CDK4,MYC
4003,CDK4,SMAD4
4004,CDK4,CDK2
4005,CDK4,FOXM1
4006,CDK4,BRCA2
4007,CDK4,CDKN2A
4008,CDK4,GSK3B
4009,CDK4,SERTAD1
4010,CDK4,CDKN2C
4011,CDK4,E2F3
4012,CDK4,CCND2
4013,CDK4,RUNX2
4014,CDK4,E2F5
4015,CDK4,CCNE2
4016,CDK4,RB1
4017,CDK4,SRC
4018,MDM2,PPM1D
4019,MDM2,RB1
4020,MDM2,YY1
4021,MDM2,RASSF1
4022,MDM2,CAMK2D
4023,MDM2,FOXO3
4024,MDM2,DLG1
4025,MDM2,AKT1
4026,MDM2,PRKDC
4027,MDM2,GRIA3
4028,MDM2,ATF3
4029,MDM2,SGK1
4030,MDM2,TOPBP1
4031,MDM2,GRIA1
4032,MDM2,ATR
4033,MDM2,TBP
4034,MDM2,DLG4
4035,MDM2,RFWD3
4036,MDM2,PTEN
4037,MDM2,CAMK2G
4038,MDM2,TP63
4039,MDM2,ESR1
4040,MDM2,CAMK2B
4041,MDM2,ATM
4042,MDM2,MDM4
4043,MDM2,CAMK2A
4044,MDM2,E2F1
4045,MDM2,S100B
4046,MDM2,CDKN2A
4047,MDM2,ARRB2
4048,MDM2,HDAC1
4049,MDM2,GRK2
4050,MDM2,CASP3
4051,MDM2,SP1
4052,MDM2,HIF1A
4053,MDM2,DAXX
4054,MDM2,RPS7
4055,MDM2,CDK2
4056,MDM2,RANBP2
4057,MDM2,ABL1
4058,MDM2,GRIA4
4059,MDM2,PML
4060,MDM2,CREBBP
4061,MDM2,IGF1R
4062,MDM2,TP53
4063,MDM2,AKT2
4064,MDM2,EZH2
4065,MDM2,EP300
4066,MDM2,RAD9A
4067,MDM2,SNAI2
4068,MDM2,ERBB4
4069,MDM2,CCN1
4070,MDM2,CHEK1
4071,MDM2,AR
4072,MDM2,CHEK2
4073,MDM2,CDKN1A
4074,MDM2,DYRK2
4075,MDM2,TP73
4076,MDM2,HSP90AA1
4077,TMEM231,TMEM17
4078,TMEM231,CC2D2A
4079,TMEM231,B9D1
4080,TMEM231,AHI1
4081,EPC2,TRRAP
4082,PLXNC1,SEMA3A
4083,PLXNC1,SEMA3B
4084,PLXNC1,NRP1
4085,MED4,MED1
4086,MED4,ANGPTL4
4087,MED4,LEP
4088,MED4,PPARGC1B
4089,MED4,MED16
4090,MED4,CD36
4091,MED4,MED12
4092,MED4,ADIPOQ
4093,MED4,LPL
4094,MED4,PCK1
4095,MED4,MED15
4096,MED4,MED14
4097,SRSF1,MALAT1
4098,SRSF1,TAF15
4099,SRSF1,SNRPD1
4100,SRSF1,RBM14
4101,SRSF1,HNRNPA2B1
4102,SRSF1,HNRNPA1
4103,SRSF1,ZRSR2
4104,SRSF1,SF3B1
4105,SRSF1,RBM8A
4106,SRSF1,SRSF2
4107,SRSF1,MATR3
4108,SRSF1,SRSF10
4109,SRSF1,XIST
4110,SRSF1,HNRNPR
4111,SRSF1,ELAVL1
4112,SRSF1,YBX1
4113,SRSF1,HNRNPK
4114,SRSF1,U2AF1
4115,BRIP1,ATM
4116,BRIP1,NBN
4117,BRIP1,PCNA
4118,BRIP1,PMS2
4119,BRIP1,BRCA2
4120,BRIP1,TOPBP1
4121,BRIP1,BARD1
4122,BRIP1,POLE
4123,BRIP1,RFC1
4124,BRIP1,BRCA1
4125,BRIP1,TP53
4126,BRIP1,RAD51
4127,BRIP1,PALB2
4128,BLK,PRKCD
4129,BLK,BCAR1
4130,BLK,EPHA3
4131,BLK,SYK
4132,BLK,PTK2B
4133,BLK,RUNX1
4134,BLK,EFNA1
4135,BLK,BTK
4136,BLK,GNAI2
4137,BLK,ABL1
4138,BLK,EGFR
4139,BLK,PDGFB
4140,BLK,EPHA7
4141,BLK,EGF
4142,BLK,FYN
4143,BLK,PTK2
4144,BLK,CBL
4145,BLK,LAT
4146,BLK,ITK
4147,BLK,EPHA4
4148,BLK,PDGFRB
4149,BLK,EPHB2
4150,BLK,RASA1
4151,BLK,SRC
4152,BLK,EPHA2
4153,BLK,STAT3
4154,BLK,PLCG2
4155,BLK,SNCA
4156,BLK,PXN
4157,IL1RN,CCR5
4158,IL1RN,IL1A
4159,IL1RN,IL1R1
4160,IL1RN,IRAK1
4161,IL1RN,CCR1
4162,IL1RN,IL1B
4163,IL1RN,MYD88
4164,IL1RN,IL10
4165,IL1RN,TNFRSF1B
4166,IL1RN,IL1R2
4167,PSMB7,PSMD6
4168,PSMB7,ITCH
4169,PSMB7,RUNX2
4170,PSMB7,PSMD12
4171,PSMB7,NF1
4172,PSMB7,SPRED2
4173,PSMB7,NOTCH4
4174,PSMB7,PAK2
4175,PSMB7,GLI2
4176,PSMB7,GLI3
4177,PSMB7,PSMD9
4178,PSMB7,SUFU
4179,PSMB7,PTEN
4180,PSMB7,RELA
4181,PSMB7,RUNX3
4182,CCL21,PDPN
4183,CCL21,CXCR3
4184,PSMB7,TP73
4185,CCL21,CXCR4
4186,IER3,RELA
4187,TLR2,CD44
4188,TLR2,FSTL1
4189,TLR2,BGN
4190,TLR2,IRAK1
4191,TLR2,HMGB1
4192,TLR2,IKBKG
4193,TLR2,CXCR4
4194,TLR2,RELA
4195,TLR2,HSPA4
4196,TLR2,PIK3R1
4197,TLR2,TRAF6
4198,TLR2,VCAN
4199,TLR2,TNF
4200,TLR2,IKBKB
4201,TLR2,LY96
4202,TLR2,TICAM2
4203,TLR2,NOD2
4204,TLR2,CYBB
4205,TLR2,MYD88
4206,TLR2,CD14
4207,TLR2,TLR4
4208,TLR2,IL1B
4209,TLR2,CLEC7A
4210,TLR2,HSPD1
4211,TLR2,HSPA1A
4212,TLR2,SNCA
4213,GGH,FPGS
4214,GGH,SLC19A1
4215,GGH,DHFR
4216,SORL1,APP
4217,SORL1,VPS26A
4218,SORL1,VPS35
4219,SORL1,BACE1
4220,MMP7,CTNNB1
4221,MMP7,LAMC2
4222,MMP7,MMP1
4223,MMP7,ACAN
4224,MMP7,CTNND1
4225,MMP7,CTNNA1
4226,MMP7,CDH1
4227,MMP7,PRSS1
4228,MMP7,NGF
4229,MMP7,SPP1
4230,MMP7,BDNF
4231,MMP7,CD44
4232,MMP7,ELANE
4233,FDX1,AKR1B1
4234,FDX1,CYP11A1
4235,FDX1,LYRM4
4236,FDX1,STAR
4237,THBS1,ADAMTS1
4238,THBS1,NLGN1
4239,THBS1,ADAMTSL2
4240,THBS1,H2AC20
4241,THBS1,ITGA4
4242,THBS1,CALR
4243,THBS1,H2BC12
4244,THBS1,SETD1A
4245,THBS1,ADAMTS5
4246,THBS1,MMP9
4247,THBS1,ITGB1
4248,THBS1,EP300
4249,THBS1,H2AX
4250,THBS1,KMT2A
4251,THBS1,VCAN
4252,THBS1,ADAMTS9
4253,THBS1,ADAMTS3
4254,THBS1,CD36
4255,THBS1,SDC4
4256,THBS1,FGF2
4257,THBS1,ADAMTS12
4258,THBS1,ADAMTSL3
4259,THBS1,RUNX1
4260,THBS1,LRP8
4261,THBS1,ITGA6
4262,THBS1,KMT2D
4263,THBS1,VCAM1
4264,THBS1,HDAC1
4265,THBS1,ITGB3
4266,THBS1,ADAMTS13
4267,THBS1,FN1
4268,THBS1,VEGFA
4269,RMDN3,PTPN1
4270,RMDN3,VAPB
4271,ADAM10,COL17A1
4272,ADAM10,BACE1
4273,ADAM10,EPHA3
4274,ADAM10,DLG1
4275,ADAM10,CD9
4276,ADAM10,NOTCH3
4277,ADAM10,CDH1
4278,ADAM10,EGF
4279,ADAM10,DLL1
4280,ADAM10,PSEN1
4281,ADAM10,JAG2
4282,ADAM10,NOTCH1
4283,ADAM10,APP
4284,ADAM10,CTNNB1
4285,ADAM10,CTNND1
4286,ADAM10,NOTCH4
4287,ADAM10,CTNNA1
4288,IFT172,GLI3
4289,ADAM10,CDH2
4290,IFT172,SUFU
4291,IFT172,IFT52
4292,IFT172,GLI2
4293,IFT172,KIF3A
4294,IFT172,DYNC2H1
4295,IFT172,IFT88
4296,TOPBP1,PLK1
4297,TOPBP1,RAD51
4298,TOPBP1,TP53
4299,TOPBP1,EXO1
4300,TOPBP1,CHEK2
4301,TOPBP1,BRCA1
4302,TOPBP1,RAD9A
4303,TOPBP1,CHEK1
4304,TOPBP1,MCM2
4305,TOPBP1,BARD1
4306,TOPBP1,ATR
4307,TOPBP1,NBN
4308,TOPBP1,TP53BP1
4309,TOPBP1,SMARCA4
4310,TOPBP1,ATM
4311,BARD1,UBE2C
4312,BARD1,BRCA2
4313,TOPBP1,E2F1
4314,TOPBP1,YWHAZ
4315,BARD1,ATR
4316,BARD1,POLD1
4317,BARD1,PALB2
4318,BARD1,CDK2
4319,BARD1,CUL7
4320,BARD1,BAP1
4321,BARD1,POLE
4322,BARD1,CHEK2
4323,BARD1,EWSR1
4324,BARD1,RTEL1
4325,BARD1,CCNE1
4326,BARD1,PRKDC
4327,BARD1,RAD51C
4328,BARD1,ATM
4329,BARD1,RAD51
4330,BARD1,PCNA
4331,BARD1,TP53BP1
4332,BARD1,NBN
4333,BARD1,RFC1
4334,BARD1,BRCA1
4335,BARD1,TP53
4336,BARD1,BMI1
4337,MSTN,FOXO1
4338,MSTN,SMAD4
4339,SLC40A1,CP
