,G1,G2
565,MAPK1,MET
566,MAPK1,CCL11
567,MAPK1,PRKCQ
568,MAPK1,NRAS
569,MAPK1,DNM1
570,MAPK1,PTPN5
571,MAPK1,DUSP3
572,MAPK1,PPIA
573,MAPK1,FOXO1
574,MAPK1,RELA
575,MAPK1,FOS
576,MAPK1,YWHAZ
577,MAPK1,PTPN11
578,MAPK1,NFKB1
579,MAPK1,HRAS
580,MAPK1,CREB1
581,MAPK1,RAF1
582,MAPK1,IL2RB
583,MAPK1,TP53
584,MAPK1,EGFR
585,MAPK1,FGFR3
586,MAPK1,IL6R
587,MAPK1,DUSP5
588,MAPK1,FGFR2
589,MAPK1,ETS2
590,MAPK1,STAT1
591,MAPK1,APAF1
592,MAPK1,JAK2
593,MAPK1,WASF3
594,MAPK1,PPARA
595,MAPK1,CYFIP1
596,MAPK1,IL2RA
597,MAPK1,MAPK8
598,MAPK1,PTK2
599,MAPK1,PRRT2
600,MAPK1,BRAF
601,MAPK1,HNF1A
602,MAPK1,HSP90AA1
603,MAPK1,CDH1
604,MAPK1,TYK2
605,MAPK1,NRG3
606,MAPK1,JUN
607,MAPK1,MAPK3
608,MAPK1,FYN
609,MAPK1,GRB2
610,MAPK1,DUSP10
611,MAPK1,IRS2
612,MAPK1,ERBB4
613,MAPK1,CDKN1B
614,MAPK1,IL6ST
615,MAPK1,TSC2
616,MAPK1,FGF3
617,MAPK1,WASF1
618,MAPK1,MITF
619,MAPK1,NRG1
620,MAPK1,SRC
621,MAPK1,NTRK1
622,MAPK1,IRS1
623,MAPK1,RUNX2
624,MAPK1,FGFR1
625,MAPK1,RPS6KB1
626,MAPK1,PGR
627,MAPK1,PTP4A3
628,MAPK1,RB1
629,MAPK1,BCL2
630,MAPK1,PDPK1
631,MAPK1,RASA1
632,MAPK1,HGF
633,MAPK1,AGT
634,MAPK1,PRKCA
635,MAPK1,GH1
636,MAPK1,TERT
637,MAPK1,NCF2
638,MAPK1,PEBP1
639,MAPK1,FGFR4
640,MAPK1,ENG
641,MAPK1,ESR1
642,MAPK1,PTGES3
643,MAPK1,RARB
644,MAPK1,FGF8
645,MAPK1,ARRB2
646,MAPK1,PLD2
647,MAPK1,DUSP2
648,MAPK1,CASP3
649,MAPK1,WASF2
650,MAPK1,FGF9
651,MAPK1,DUSP1
652,MAPK1,RXRB
653,MAPK1,IL2
654,MAPK1,PRKAR1A
655,MAPK1,MAPT
656,MAPK1,SP1
657,MAPK1,STAT5A
658,MAPK1,RPS6KA5
659,MAPK1,BCL2L1
660,MAPK1,KRAS
661,MAPK1,PRKCB
662,MAPK1,HIF1A
663,MAPK1,EDN1
664,MAPK1,IL6
665,MAPK1,CDK2
666,MAPK1,PLA2G4A
667,MAPK1,RARG
668,MAPK1,MYC
669,MAPK1,FGF10
670,MAPK1,STAT3
671,MAPK1,IGF1R
672,MAPK1,IKZF3
673,MAPK1,MAP2K1
674,MAPK1,PIN1
675,MAPK1,PXN
676,MAPK1,IL2RG
677,MAPK1,NR3C1
678,MAPK1,MYLK
679,MAPK1,CASP8
680,MAPK1,RHOA
681,MAPK1,PLA2G1B
682,MAPK1,CXCL12
683,MAPK1,FKBP5
684,MAPK1,RPS6KA3
685,MAPK1,CCL4
686,MAPK1,CASP9
687,MAPK1,FGF17
688,MAPK1,ETS1
689,MAPK1,MAP2K3
690,MAPK1,HSPA1A
691,MAPK1,TNFSF10
692,MAPK1,KL
693,MAPK1,TSC1
694,MAPK1,BCL2L11
695,MAPK1,YWHAE
696,LGALS1,HRAS
697,XBP1,DCTN1
698,XBP1,TSPYL2
699,XBP1,DDIT3
700,XBP1,LMNA
701,XBP1,WFS1
702,XBP1,HIF1A
703,XBP1,CUL7
704,XBP1,PLA2G4B
705,XBP1,FOXO1
706,XBP1,GOSR2
707,XBP1,HSPA5
708,XBP1,EDEM1
709,XBP1,EIF2S1
710,XBP1,ADD1
711,XBP1,MYDGF
712,XBP1,EIF2AK3
713,XBP1,GSK3A
714,HMOX1,NQO1
715,HMOX1,IL13
716,XBP1,ATF4
717,HMOX1,FOS
718,HMOX1,FXYD2
719,HMOX1,MAPK14
720,HMOX1,STX1A
721,HMOX1,CAV1
722,HMOX1,IL4
723,HMOX1,JUN
724,HMOX1,CP
725,HMOX1,CREB1
726,HMOX1,POR
727,HMOX1,CYB5A
728,HMOX1,NFE2L2
729,CBX7,ASXL1
730,CBX7,SUZ12
731,CBX7,BMI1
732,CBX7,HDAC2
733,MYH9,RAC1
734,CBX7,BAP1
735,MYH9,ACTG1
736,CBX7,EZH2
737,MYH9,S100A4
738,MYH9,PPP1CB
739,MYH9,MYH6
740,MYH9,MYO1C
741,MYH9,PPP1R12B
742,MYH9,CD163
743,MYH9,MYH7
744,MYH9,FCGR2A
745,MYH9,ACTB
746,MYH9,RHOA
747,MYH9,MYLK
748,MYH9,PAK2
749,MYH9,MYO9B
750,MYH9,PAK1
751,MYH9,FCGR3A
752,PVALB,SST
753,PVALB,GAD1
754,PVALB,MECP2
755,PVALB,CALB1
756,IL2RB,IL2RG
757,IL2RB,CISH
758,IL2RB,MAPK8
759,IL2RB,PIK3R1
760,IL2RB,SYK
761,IL2RB,MAPK14
762,IL2RB,HLA-A
763,IL2RB,UGCG
764,IL2RB,SOCS2
765,IL2RB,RHOA
766,IL2RB,B2M
767,IL2RB,MAPK3
768,IL2RB,IL2
769,IL2RB,NRAS
770,IL2RB,CD8A
771,IL2RB,IRS2
772,IL2RB,IL7R
773,IL2RB,STAT5A
774,IL2RB,PTPN11
775,IL2RB,AKT1
776,IL2RB,GRB2
777,IL2RB,FYN
778,IL2RB,SOCS3
779,IL2RB,STAT5B
780,IL2RB,KRAS
781,IL2RB,CD3E
782,IL2RB,HRAS
783,IL2RB,PRKCB
784,IL2RB,IL2RA
785,IL2RB,STAT1
786,IL2RB,IRS1
787,IL2RB,CBL
788,IL2RB,IL15
789,IL2RB,STAT3
790,IL2RB,MAP2K1
791,IL2RB,PTK2B
792,IL2RB,IKZF3
793,IL2RB,SOCS1
794,IL2RB,JAK2
795,IL2RB,MAP2K2
796,IL2RB,PIK3CA
797,BRD1,KAT6B
798,BRD1,HDAC2
799,BRD1,HDAC1
800,BRD1,CHD4
801,BRD1,MTA2
802,BRD1,AKT2
803,BRD1,AKT1
804,PAPOLA,SYMPK
805,GZMB,CASP3
806,GZMB,RBPJ
807,GZMB,NOTCH2
808,GZMB,FGFR1
809,GZMB,CD8A
810,GZMB,EP300
811,GZMB,BID
812,GZMB,CASP7
813,GZMB,CASP10
814,GZMB,CASP8
815,GZMB,PRF1
816,GZMB,CREB1
817,SOS 2,NRAS
818,SOS 2,RAC1
819,SOS 2,PTPN11
820,SOS 2,HRAS
